end_of_year,young_age_population,young_age_percentage,working_age_population,working_age_percentage,elderly_age_population,elderly_age_percentage,elderly_dependency_ratio,youth_dependency_ratio,total_dependency_ratio,aging_index,date_time
2000,755777,21.18,2584931,72.45,227188,6.37,8.79,29.24,38.03,30.06,2025-05-10T18:00:16.511952
2001,750977,20.8,2626677,72.76,232598,6.44,8.86,28.59,37.45,30.97,2025-05-10T18:00:16.511952
2002,740661,20.34,2662427,73.11,238358,6.55,8.95,27.82,36.77,32.18,2025-05-10T18:00:16.511952
2003,720449,19.6,2710726,73.73,245358,6.67,9.05,26.58,35.63,34.06,2025-05-10T18:00:16.511952
2004,705062,19.01,2748628,74.12,254409,6.86,9.26,25.65,34.91,36.08,2025-05-10T18:00:16.511952
2005,683788,18.3,2788396,74.62,264493,7.08,9.49,24.52,34.01,38.68,2025-05-10T18:00:16.511952
2006,665288,17.66,2826111,75.02,275696,7.32,9.76,23.54,33.3,41.44,2025-05-10T18:00:16.511952
2007,646322,17.02,2865923,75.46,285770,7.52,9.97,22.55,32.52,44.21,2025-05-10T18:00:16.511952
2008,628689,16.4,2907549,75.84,297492,7.76,10.23,21.62,31.85,47.32,2025-05-10T18:00:16.511952
2009,612010,15.8,2950289,76.16,311354,8.04,10.55,20.74,31.3,50.87,2025-05-10T18:00:16.511952
2010,586269,15.04,2988765,76.69,322333,8.27,10.78,19.62,30.4,54.98,2025-05-10T18:00:16.511952
2011,566884,14.47,3015088,76.99,334479,8.54,11.09,18.8,29.9,59.0,2025-05-10T18:00:16.511952
2012,553731,14.06,3032178,76.97,353396,8.97,11.65,18.26,29.92,63.82,2025-05-10T18:00:16.511952
2013,544565,13.77,3035481,76.75,374883,9.48,12.35,17.94,30.29,68.84,2025-05-10T18:00:16.511952
2014,535360,13.5,3030913,76.41,400545,10.1,13.22,17.66,30.88,74.82,2025-05-10T18:00:16.511952
2015,517012,13.02,3024457,76.17,429175,10.81,14.19,17.09,31.28,83.01,2025-05-10T18:00:16.511952
2016,507423,13.0,3005876,76.0,465909,12.0,15.0,17.0,32.0,92.0,2025-05-10T18:00:16.511952
2017,498155,12.4954567562,2986137,74.9026824014,502397,12.6018608424,16.8243118115,16.6822553687,33.5065671803,100.8515421907,2025-05-10T18:00:16.511952
2018,489922,12.261178657,2966090,74.2317336288,539705,13.5070877142,18.195840315,16.5174354116,34.7132757266,110.1614134495,2025-05-10T18:00:16.511952
2019,486253,12.0997706719,2953932,73.5047388506,578511,14.3954904775,19.5844386398,16.4612117002,36.04565034,118.9732505506,2025-05-10T18:00:16.511952
2020,482286,11.9645622351,2930407,72.6976045869,618261,15.337833178,21.098127325,16.457986894,37.5561142189,128.1938517809,2025-05-10T18:00:16.511952
2021,472393,11.7859202073,2885782,71.9985190038,649938,16.2155607888,22.5220754721,16.3696703355,38.8917458075,137.5841725004,2025-05-10T18:00:16.511952
2022,460811,11.5331026935,2853380,71.4139301438,681360,17.0529671627,23.8790487071,16.1496540944,40.0287028016,147.8610536641,2025-05-10T18:00:16.511952
2023,456750,11.3025596864,2856193,70.6782525636,728177,18.0191877499,25.4946707033,15.9915663962,41.4862370995,159.4257252326,2025-05-10T18:00:16.511952
